"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z","Rgd_Avail","NDVI","Alt","Forest"
"AG24",-0.607947878,-0.068852573,1.241025381,-0.458740469,42.8947983,0.126389,2647.669922,0
"AG25",0.560774059,-0.211969041,1.444123594,-0.458740469,57.6576996,0.118387,2744.52002,0
"AG26",2.635932373,-0.032975089,0.914286476,-0.454506306,83.8703995,0.128395,2491.860107,50
"AG27",0.595987261,-0.451182081,-1.124180172,-0.443328116,58.1025009,0.105012,1519.790039,182
"AG28",-0.921627833,-0.335680188,-1.311445655,-0.458740469,38.9324989,0.11147,1430.48999,0
"AG29",-1.384725783,-0.359431584,-1.194032588,-0.458740469,33.0828018,0.110142,1486.479981,0
"AG30",-0.994642639,-0.654962975,-0.915126702,-0.458740469,38.0102005,0.0936181,1619.479981,0
"AG34",0.010118135,-0.422458631,-0.768040514,-0.458740469,50.7019997,0.106618,1689.619995,0
"AG35",-0.247353932,-0.057620739,-0.552213401,-0.458740469,47.4496994,0.127017,1792.540039,0
"AG36",-0.243514366,-0.170922766,-0.763427136,-0.458740469,47.4981995,0.120682,1691.819946,0
"AG40",-0.169327822,0.610673427,-0.069412673,-0.458740469,48.4352989,0.164383,2022.77002,0
"AG41",0.085666376,0.838833484,0.312310986,0.192389129,51.6562996,0.17714,2204.800049,7689
"AG42",0.024082979,1.317706692,0.771373115,1.334258229,50.8783989,0.203915,2423.709961,21173
"AG43",-0.347412082,1.039468391,1.362444116,0.59717512,46.1857986,0.188358,2705.570068,12469
"AG44",-0.389773805,1.473968698,0.999341897,-0.272183244,45.6506996,0.212652,2532.419922,2203
"AG45",-0.008644201,1.235882418,0.91606865,-0.446800129,50.4650002,0.19934,2492.709961,141
"AG46",-0.403873342,0.950722589,1.590685267,-0.458740469,45.472599,0.183396,2814.409912,0
"AG47",-0.139973017,0.632010336,1.766941307,-0.458740469,48.8060989,0.165576,2898.459961,0
"AG48",-0.0936923,1.131719671,1.386685471,-0.458740469,49.3907013,0.193516,2717.129883,0
"AG49",-0.525282521,1.307172376,1.484009274,-0.458740469,43.9389992,0.203326,2763.540039,0
"AG50",1.326286947,0.737782741,1.591461416,-0.458740469,67.3274002,0.17149,2814.780029,0
"AG51",1.378101416,0.456164159,1.636757103,-0.447816329,67.9819031,0.155744,2836.379883,129
"AG52",0.474855006,0.985687934,1.370832263,-0.438331803,56.5723991,0.185351,2709.570068,241
"AG53",1.235451724,1.580921519,1.126485501,0.235577593,66.1800003,0.218632,2593.050049,8199
"AG54",0.038047823,2.563903793,0.350371998,0.874004702,51.0547981,0.273593,2222.949951,15738
"AG55",-0.758418931,2.830606213,0.3386289,0.622326048,40.9940987,0.288505,2217.350098,12766
"AG56",-0.064780825,2.853409699,0.118880338,0.832509904,49.7559013,0.28978,2112.560059,15248
