"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z"
"X38",-0.638379295,0.693874853,-0.284631564,-0.394127141
"X39",-0.865839414,0.972721246,-0.08161757,-0.133895478
"X40",-0.837078331,1.162857607,-0.030596502,0.460835069
"Y13",2.279661176,2.165710213,0.824365274,0.225246235
"Y14",1.896061264,1.439039123,1.522133259,-0.101123056
"Y15",-0.610473159,0.753110261,1.206319833,-0.458740469
"Y16",-0.479334303,0.146537531,1.210849248,-0.458740469
"Y17",-0.449852966,-0.141770074,1.66861148,-0.458740469
"Y18",-0.485485638,-0.311338585,1.203090314,-0.458740469
"Y19",0.34788036,-0.48591492,1.570134716,-0.458740469
"Y20",0.887065315,-0.008293668,1.449617565,-0.458740469
"Y21",0.441375858,-0.190542706,0.016628806,-0.458740469
"Y22",-0.279725062,-0.653880928,-1.212088044,-0.458740469
"Y24",0.651680555,-0.602954931,-1.501604803,-0.458740469
"Y27",-0.749314699,-1.209363118,-1.37225972,-0.458740469
"Y38",-0.241076065,0.4203761,-0.434234093,-0.422496033
"Y39",-0.2234299,0.252202626,-0.030449822,-0.037864659
"Y40",-0.724044969,0.645495692,0.377948339,0.490389527
"Z15",2.859402534,-0.491495068,1.694405134,-0.458740469
"Z16",2.649699112,-0.830365602,1.966180789,-0.458740469
"Z17",1.463133508,-0.709548261,1.822282394,-0.458740469
"Z18",-0.160579932,-0.697180724,1.02643596,-0.458740469
"Z19",0.587191966,-0.335483452,0.891344505,-0.458740469
"Z20",0.799800272,-0.601148537,2.098357076,-0.458740469
"Z21",-0.06600813,0.464516495,0.478249258,-0.458740469
"Z22",0.066793207,-0.306599037,-0.81534953,-0.458740469
"Z32",-1.058537806,-0.55473137,-1.054600636,-0.458740469
"Z33",-0.341252892,-0.750884275,-1.203196628,-0.458740469
"Z39",-0.58672338,0.112877797,0.321936057,-0.145581768
"Z40",-0.941340242,0.593128157,0.844916337,0.054948196
"Z53",0.003175272,1.363993297,-0.795826251,0.402064885
"Z54",-0.484020962,1.895681168,-0.523672761,1.402089521
"AA17",2.633794848,-0.8754861,1.85826736,-0.419870852
"AA18",0.76923447,-0.471857242,1.4240758,-0.458740469
"AA19",0.215997698,-0.644144286,0.320992493,-0.458740469
"AA20",1.977753289,-0.525458848,1.777279555,-0.458740469
"AA21",1.340608149,0.166765564,-0.170804348,-0.458740469
"AA22",-0.005334946,-0.436087068,-0.883587187,-0.458740469
"AA23",-0.154784954,-0.979049697,-1.172076675,-0.458740469
"AA25",-0.666419824,-2.086259998,-1.813161695,-0.458740469
"AA32",-0.910322956,-0.546988916,-1.050993794,-0.458740469
"AA33",-0.59721287,-0.374580253,-0.646789962,-0.458740469
"AA34",-0.956642931,-0.239404764,-0.873500574,-0.458740469
"AA35",-1.222989411,-0.322176948,-0.94922454,-0.458740469
"AA39",-0.233610753,-0.456118365,0.164763256,-0.181487471
"AA40",-0.333114431,0.185920493,0.188795215,-0.427746396
"AA42",-0.778938582,1.112636283,0.670212083,0.314248343
"AA52",0.303777029,2.670337947,-0.236840015,4.063769117
"AA53",-0.254850957,2.391706174,-0.1347774,4.029726446
"AA54",-0.261294923,2.474138541,-0.161640308,3.71749926
"AA55",0.254591129,2.469756695,-0.382835702,3.690908716
"AB18",0.870131559,-0.32362564,1.320000113,-0.458740469
"AB19",0.261644824,-0.519216953,0.506769162,-0.458740469
"AB20",2.678531769,-0.670598119,0.860497176,-0.458740469
"AB21",0.077243138,0.21509107,0.949075988,-0.458740469
"AB22",-0.124472223,0.173812289,0.37199257,-0.458740469
"AB23",-0.147414468,-0.656848064,-0.776009356,-0.458740469
"AB25",1.772950037,-0.659931453,-0.750089757,-0.458740469
"AB26",-0.961907606,-0.517070742,-0.954194506,-0.364826732
"AB32",-0.407530802,-0.463952033,-1.362319787,-0.458740469
"AB33",-0.044941877,-0.077401645,-0.321036091,-0.458740469
"AB34",-1.252146412,-0.057388233,-0.289790192,-0.458740469
"AB35",-1.23679601,-0.097576023,-0.405358112,-0.458740469
"AB38",-0.260701201,-0.010833351,-0.236127094,-0.451457709
"AB39",-0.494993342,0.294339891,0.519183456,-0.212904961
"AB40",-0.511143425,1.21363337,0.817927228,-0.161163488
"AB41",-1.065923999,1.394862958,0.628145403,-0.451373026
"AB42",-0.975302287,1.705830968,0.705211503,-0.255754691
"AB43",-0.42140052,1.308889344,0.357627664,-0.035154795
"AB47",-0.340587897,1.816986784,0.413304091,3.654325547
"AB48",-0.279376565,1.581368646,0.583122086,4.062329502
"AB49",-0.201152643,2.060778407,0.518260883,3.651785049
"AB50",-0.479104792,2.043179481,0.577460189,3.392569586
"AB51",-0.129879136,2.838314685,0.258836549,4.534438685
"AB52",-0.167522794,2.714657193,0.318769511,4.709055571
"AB53",-0.258920034,2.522034804,0.254097226,3.95063228
"AB54",-0.316299661,2.003063231,0.71466916,3.89872144
"AB55",-0.172842735,2.322186841,0.046134256,2.638803874
"AC18",0.927392501,-0.423817898,1.725461859,-0.458740469
"AC19",0.156646644,-0.384184545,1.855960415,-0.458740469
"AC20",0.712163479,-0.331244687,1.638539789,-0.458740469
"AC21",-0.349541445,-0.010797581,1.721309767,-0.458740469
"AC22",0.18368998,0.401203287,0.908330707,-0.458740469
"AC23",-0.143495783,-0.33192432,-0.592413687,-0.458740469
"AC25",3.022817387,-0.656628077,-0.286476966,-0.458740469
"AC26",1.805416293,-0.150641077,0.370230875,-0.382186801
"AC33",-0.268752381,-0.107448591,-0.842422346,-0.458740469
"AC35",0.238464906,-0.045369454,-0.454260896,-0.458740469
"AC40",-0.266757403,1.15516702,0.420874619,-0.39073981
"AC41",0.253949994,1.444386764,0.467827047,0.207039334
"AC42",-0.253924737,1.744069284,0.874883074,0.497587604
"AC43",-0.609673478,1.621735288,0.953647385,0.725470261
"AC44",-0.390755291,1.828343815,0.58951815,1.005094391
"AC45",-0.657679787,1.534223557,0.725154343,2.179735913
"AC46",-0.402677743,1.192993979,0.720436011,3.175018286
"AC47",-0.257819561,0.706340758,1.056947435,1.824658997
"AC48",-0.003110448,0.776503955,1.13304898,0.953945701
"AC49",-0.382229366,1.045048538,1.131434221,-0.020165857
"AC50",-0.372943028,1.671652566,0.660922354,0.075272178
"AC51",-0.759922867,1.752314309,0.638819504,0.315179859
"AC52",-0.41502782,1.398851332,0.428109294,0.843518728
"AC53",0.219275247,1.421493852,0.625377683,1.542748419
"AC54",0.373126529,2.09218462,0.265358047,0.591162608
"AC56",-0.879725139,2.692354489,-0.164450521,2.299223995
"AD18",1.688107596,-0.477079687,1.710615187,-0.458740469
"AD19",0.287247043,-0.045083293,1.643698417,-0.451034292
"AD20",0.037564933,-0.234700986,2.044819666,-0.458740469
"AD21",0.963634602,-0.320370554,1.91786498,-0.458740469
"AD22",1.549836226,0.423935232,1.286363562,-0.458740469
"AD23",0.872973631,-0.198269064,-0.246297671,-0.458740469
"AD24",0.920212274,-1.187464617,-1.404050869,-0.458740469
"AD25",1.115403933,-1.251886701,-1.432297892,-0.458740469
"AD26",0.889155119,-0.310462216,-0.186888712,-0.458740469
"AD27",-0.831101247,-0.448803365,-0.889438002,-0.458740469
"AD35",-0.648955765,-0.25496479,-0.940018518,-0.458740469
"AD39",-0.218711535,0.580966297,-0.120223832,-0.458740469
"AD40",-0.2719034,0.930941683,0.220733044,-0.457808953
"AD41",0.440639597,1.099007846,0.020885852,-0.078343258
"AD42",0.136665157,1.889475042,0.498716357,0.721744198
"AD43",0.071764944,1.515623066,1.050383956,2.681230188
"AD44",-0.227277311,0.92836623,1.421391532,-0.046925768
"AD45",0.513266338,0.89236355,1.20841687,0.66339743
"AD46",1.026769647,0.268156123,1.468469904,0.308405198
"AD47",-0.161767376,0.588406494,1.343717209,-0.381339968
"AD48",-0.203844323,1.352403761,1.032391216,-0.458740469
"AD49",0.206355301,1.771630203,0.818682387,-0.242036003
"AD50",-0.082712067,1.913387404,0.71028668,0.278681373
"AD51",-0.083020704,1.997304233,0.337705815,0.443390317
"AD52",-0.405076485,1.930378237,0.44197042,0.875952417
"AD53",0.081882377,2.217720047,0.35012062,0.898054748
"AD54",-0.24852567,2.448884798,0.26923777,1.361272189
"AD55",-0.592217573,2.445379321,-0.125026128,0.819553365
"AD56",-0.716698343,2.713083305,0.283623667,2.386447754
"AE18",1.183511024,-0.158027618,1.646529622,-0.34789008
"AE19",1.167424361,-0.136958985,0.780117594,-0.317065373
"AE20",0.384312721,0.101127295,1.470986758,-0.378376054
"AE21",0.483246537,-0.485592989,2.121152111,-0.458740469
"AE22",1.556731376,-0.0815331,1.264680017,-0.458740469
"AE23",2.017431185,-0.131271528,0.004822223,-0.458740469
"AE24",-0.280706548,-0.723672115,-0.824513826,-0.458740469
"AE25",1.420114943,-0.189702107,-1.464110032,-0.458740469
"AE26",0.911622629,-0.691142718,-1.413298617,-0.458740469
"AE27",1.082455088,0.911929835,0.650961429,-0.458740469
"AE28",-0.564121478,-0.659691792,-1.008738453,-0.458740469
"AE33",-0.781551136,-0.656236394,-1.099959551,-0.458740469
"AE38",-0.636740374,0.3095601,-0.975793831,-0.458740469
"AE39",0.529440282,0.656083663,-0.367212881,-0.458740469
"AE40",0.360048338,0.433163937,-0.417290128,-0.174120027
"AE41",0.71174401,0.570807568,-0.281506999,-0.193004394
"AE42",0.230595824,1.354317465,0.230693968,0.584811364
"AE43",0.178987321,1.554093889,0.811489694,1.896470403
"AE44",1.858283514,0.19037388,1.621197254,0.285032617
"AE45",0.130205184,0.209761314,1.761300401,-0.444259632
"AE46",-0.477284066,0.72522741,1.409501497,-0.458740469
"AE47",-0.187868493,0.817711196,1.460081757,-0.393873091
"AE48",-0.358930763,1.243626661,1.238697957,-0.458740469
"AE49",0.119288371,1.194746718,1.279841552,-0.435113839
"AE50",0.097240632,1.714040223,0.910469726,-0.353225125
"AE51",0.23212392,2.071294838,0.634646422,0.647222927
"AE52",0.210772582,2.122446188,0.728215935,1.155999963
"AE53",0.735612475,2.198046451,0.668849214,1.577129823
"AE54",0.717594253,2.409931078,0.510585913,1.632851409
"AE55",-0.200685459,2.614947832,-0.00673247,1.616846273
"AE56",-0.724559573,2.547020271,0.149140435,1.092487517
"AF19",1.477280758,-0.340366081,0.814446331,-0.34738198
"AF20",1.05935459,0.043233268,1.135985139,-0.377698588
"AF21",0.076023979,-0.207694505,2.008205487,-0.458740469
"AF22",1.156981983,-0.278108093,1.181889048,-0.458740469
"AF23",0.830073452,0.3433808,1.497220708,-0.458740469
"AF24",0.164824664,0.24898331,0.440796469,-0.458740469
"AF25",1.432781209,0.404368947,0.442704588,-0.423681599
"AF26",2.127345234,-0.48784651,-1.760127554,-0.391756009
"AF27",1.001990669,-0.249223677,-0.193850761,-0.458740469
"AF28",-0.198555787,-0.331298342,-0.563998737,-0.458740469
"AF29",-0.767467606,-0.730203749,-1.191138667,-0.458740469
"AF30",-1.263783787,-0.833715479,-1.14353578,-0.458740469
"AF33",-0.845208638,-0.788623597,-1.138419133,-0.458740469
"AF34",-0.842991994,-0.788509133,-1.162136741,-0.458740469
"AF38",0.048585026,-0.422190355,-1.148757637,-0.458740469
"AF40",-0.258342018,-0.187412816,-0.687241627,-0.110268848
"AF41",0.479240881,0.827136637,-0.200183853,-0.188939598
"AF42",0.12718916,1.91453205,0.588867946,1.180050009
"AF43",-0.250544208,1.766336218,0.800438269,1.14058761
