Site,Alt_z,Alt_z2,Rgd_z,Rgd2_z,Available_z,Rgd_Availz,Forest_z,NDVI_z,ForestXNDVI,Altitude,Rugged,Rgd^2,Available,Rgd_Avail,Forest_Cov,NDVI
AE21,2.121152111,4.499286277,0.720383329,0.518952141,0.845935471,0.483246537,-0.458740469,-0.485592989,0.222761156,3067.370117,40.2377014,1619.072614,40859,56.6783981,0,0.103088
AE22,1.264680017,1.599415546,2.182024449,4.761230696,1.815928342,1.556731376,-0.458740469,-0.0815331,0.037402533,2658.949951,64.7918015,4197.977542,59163,70.2382965,0,0.12568
AE23,0.004822223,2.33E-05,1.60689464,2.582110383,1.070468895,2.017431185,-0.458740469,-0.131271528,0.060219562,2058.169922,55.1301994,3039.338886,45096,76.0577011,0,0.122899
AE24,-0.824513826,0.67982305,-0.947174987,0.897140456,-0.934910814,-0.280706548,-0.458740469,-0.723672115,0.331977686,1662.689941,12.2243996,149.4359456,7254,47.0284004,0,0.0897764
AE25,-1.464110032,2.143618186,-0.566711646,0.32116209,-0.670950232,1.420114943,-0.458740469,-0.189702107,0.087024034,1357.689941,18.6158009,346.5480431,12235,68.5126038,0,0.119632
AE26,-1.413298617,1.99741298,-0.439150524,0.192853183,-0.518805918,0.911622629,-0.458740469,-0.691142718,0.317055135,1381.920044,20.7586994,430.9236008,15106,62.0895004,0,0.0915952
AE27,0.650961429,0.423750782,1.454885517,2.116691869,1.301202558,1.082455088,-0.458740469,0.911929835,-0.41833912,2366.290039,52.5765991,2764.298773,49450,64.2473984,0,0.181227
AE28,-1.008738453,1.017553266,-0.897844651,0.806125018,-0.904598537,-0.564121478,-0.458740469,-0.659691792,0.302627322,1574.839966,13.0530996,170.3834092,7826,43.4483986,0,0.0933537
AE33,-1.099959551,1.209911014,-0.730054792,0.53298,-0.880539492,-0.781551136,-0.458740469,-0.656236394,0.301042191,1531.339966,15.8718004,251.9140479,8280,40.7019005,0,0.0935469
AE38,-0.975793831,0.952173601,-1.204139758,1.449952558,-1.169618988,-0.636740374,-0.458740469,0.3095601,-0.142007746,1590.550049,7.90765,62.53092852,2825,42.5311012,0,0.147547
AE39,-0.367212881,0.1348453,-0.130060583,0.016915755,-0.152355924,0.529440282,-0.458740469,0.656083663,-0.300972128,1880.76001,25.9510994,673.4595601,22021,57.2619019,0,0.166922
AE40,-0.417290128,0.174131051,-0.266056782,0.070786211,-0.263801236,0.360048338,-0.174120027,0.433163937,-0.075422516,1856.880005,23.6665001,560.103227,19918,55.1222,3361,0.154458
AE41,-0.281506999,0.079246191,0.580624887,0.33712526,0.651767318,0.71174401,-0.193004394,0.570807568,-0.110168369,1921.630005,37.8899002,1435.644537,37195,59.5647011,3138,0.162154
AE42,0.230693968,0.053219707,0.854260205,0.729760497,1.287265269,0.230595824,0.584811364,1.354317465,0.792020244,2165.879883,42.4866982,1805.119524,49187,53.4869995,12323,0.205962
AE43,0.811489694,0.658515523,0.824466765,0.679745447,1.257270953,0.178987321,1.896470403,1.554093889,2.947293063,2442.840088,41.9861984,1762.840856,48621,52.8350983,27812,0.217132
AE44,1.621197254,2.628280536,1.862981525,3.470700163,1.43161954,1.858283514,0.285032617,0.19037388,0.054262765,2828.959961,59.4322014,3532.186563,51911,74.0474014,8783,0.140883
AE45,1.761300401,3.102179104,0.567903929,0.322514872,0.88568059,0.130205184,-0.444259632,0.209761314,-0.093188484,2895.77002,37.6762009,1419.496114,41609,52.2188988,171,0.141967
AE46,1.409501497,1.986694471,0.169195477,0.02862711,0.653728077,-0.477284066,-0.458740469,0.72522741,-0.332691163,2728.01001,30.9783001,959.6550771,37232,44.5452995,0,0.170788
AE47,1.460081757,2.131838738,0.334074412,0.111605713,0.795803628,-0.187868493,-0.393873091,0.817711196,-0.322074436,2752.129883,33.7481003,1138.934274,39913,48.2010994,766,0.175959
AE48,1.238697957,1.534372629,0.423811912,0.179616537,1.107246378,-0.358930763,-0.458740469,1.243626661,-0.570501878,2646.560059,35.2556,1242.957331,45790,46.0402985,0,0.199773
AE49,1.279841552,1.637994398,0.741676295,0.550083726,1.179158546,0.119288371,-0.435113839,1.194746718,-0.519850831,2666.179932,40.5954018,1647.986647,47147,52.0810013,279,0.19704
AE50,0.910469726,0.828955122,0.556587674,0.309789838,0.912972238,0.097240632,-0.353225125,1.714040223,-0.605442073,2490.040039,37.4860992,1405.207633,42124,51.8025017,1246,0.226075
AE51,0.634646422,0.402776081,0.565743043,0.320065191,0.998927682,0.23212392,0.647222927,2.071294838,1.340589509,2358.51001,37.6399002,1416.762087,43746,53.5063019,13060,0.24605
AE52,0.728215935,0.530298448,0.708739632,0.502311866,1.14688551,0.210772582,1.155999963,2.122446188,2.453547715,2403.129883,40.042099,1603.369692,46538,53.236599,19068,0.24891
AE53,0.668849214,0.447359271,1.110001927,1.232104277,1.356898717,0.735612475,1.577129823,2.198046451,3.46660461,2374.820068,46.7829018,2188.639901,50501,59.8661995,24041,0.253137
AE55,-0.00673247,4.53E-05,0.103971374,0.010810047,0.511387559,-0.200685459,1.616846273,2.614947832,4.227968656,2052.659912,29.8826008,892.9698306,34546,48.0391998,24510,0.276447
AE56,0.149140435,0.022242869,0.106554851,0.011353936,0.757224366,-0.724559573,1.092487517,2.547020271,2.782587851,2126.98999,29.9260006,895.5655119,39185,41.4217987,18318,0.272649
AF19,0.814446331,0.663322827,1.761415936,3.1025861,1.210742667,1.477280758,-0.34738198,-0.340366081,0.118237043,2444.25,57.7260017,3332.291272,47743,69.2347031,1315,0.111208
AF20,1.135985139,1.290462235,1.691792635,2.86216232,1.613387217,1.05935459,-0.377698588,0.043233268,-0.016329144,2597.580078,56.5564003,3198.626415,55341,63.9556007,957,0.132656
AF21,2.008205487,4.032889277,0.363159362,0.131884723,0.594799315,0.076023979,-0.458740469,-0.207694505,0.095277875,3013.51001,34.2366982,1172.151504,36120,51.5345001,0,0.118626
AF22,1.181889048,1.396861721,1.662177683,2.762834649,1.528067695,1.156981983,-0.458740469,-0.278108093,0.127579437,2619.469971,56.0588989,3142.600146,53731,65.188797,0,0.114689
AF23,1.497220708,2.241669849,1.625044608,2.640769977,1.694202291,0.830073452,-0.458740469,0.3433808,-0.157522669,2769.840088,55.4351006,3073.050379,56866,61.0593987,0,0.149438
AF24,0.440796469,0.194301527,0.640711784,0.41051159,0.88006328,0.164824664,-0.458740469,0.24898331,-0.114218721,2266.070068,38.8992996,1513.155509,41503,52.6562004,0,0.14416
AF25,0.442704588,0.195987352,1.624395616,2.638661118,1.320015247,1.432781209,-0.423681599,0.404368947,-0.171323682,2266.979981,55.4241982,3071.841746,49805,68.6725998,414,0.152848
AF26,-1.760127554,3.098049006,-0.919286406,0.845087496,-1.024575802,2.127345234,-0.391756009,-0.48784651,0.191116802,1216.530029,12.6928997,161.1097028,5562,77.4460983,791,0.102962
